Template ID,DICOM TID Name,Row No,NL,REL with Parent,VT,Concept Name,VM,Req Type (DICOM),Req Type (IHE),Condition (DICOM),Condition (IHE),ValueSet (DICOM),ValueSet (IHE),in_dicom,in_ihe_mado,difference_type,DICOM Section URL,MADO Page URL,DICOM Difference Note,EU-MADO Profile,EU-MADO Field,Consumer Obligation,Producer Obligation,DICOM-KOS Match,Comment
2010,Key Object Selection,1,,,CONTAINER,DCID 7010 “Key Object Selection Document Title”,1,M,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,SHALL:populate,,"fixed value:Concept Name =(131560, DCM,""Manifest with Description"")"
2010,Key Object Selection,2,>,HAS CONCEPT MOD,CODE,"EV (113011, DCM, ""Document Title Modifier"")",1-n,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,3,>,HAS CONCEPT MOD,CODE,"EV (113011, DCM, ""Document Title Modifier"")",1,UC,,"IF Row 1 Concept Name = (113001, DCM, ""Rejected for Quality Reasons"") or (113010, DCM, ""Quality Issue"")",,DCID 7011 “Rejected for Quality Reason”,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,4,>,HAS CONCEPT MOD,CODE,"EV (113011, DCM, ""Document Title Modifier"")",1,MC,,"IF Row 1 Concept Name = (113013, DCM, ""Best In Set"")",,DCID 7012 “Best in Set”,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,4b,>,HAS CONCEPT MOD,CODE,"EV (121023, DCM, ""Procedure Code"")",1-n,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,EuMadoImagingStudy,procedureCode,,SHALL:able-to-populate,"SR: EV(121023,DCM,""ProcedureCode"")",
2010,Key Object Selection,5,>,HAS CONCEPT MOD,INCLUDE,DTID 1204 “Language of Content Item and Descendants”,1,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,6,>,HAS OBS CONTEXT,INCLUDE,DTID 1002 “Observer Context”,1-n,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,7,>,CONTAINS,TEXT,"EV (113012, DCM, ""Key Object Description"")",1,U,,,,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,EuMadoImagingStudy,series.instance.title,,SHALL:populate,"SR: EV(111028,DCM,""Image Library"") -> EV(126200,DCM,""Image Library Group"") -> Image Library Entry (COMPOSITE) EV (113012, DCM, "" Key Object Description "" )",
2010,Key Object Selection,8,>,CONTAINS,IMAGE,,1-n,MC,,"At least one of Rows 8, 9 and 10 shall be present",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
2010,Key Object Selection,9,>,CONTAINS,WAVEFORM,,1-n,MC,,"At least one of Rows 8, 9 and 10 shall be present",,,,Y,,dicom_only,https://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_TID_2010.html#table_TID_2010,,,,,,,,
